Team,Wins
RayanRupert,"{0: '              Pass To  FREQ\xa0M%\n0         Reath, Duop      6.8\n1     Camara, Toumani      4.0\n2         Moore, Taze      2.4\n3      Minaya, Justin      7.3\n4        Murray, Kris     11.3\n5      Walker, Jabari      5.5\n6     Bouyea, Jamaree      2.2\n7     Sharpe, Shaedon      0.1\n8    Henderson, Scoot     21.0\n9      Wainright, Ish      0.3\n10        Badji, Ibou      1.2\n11     Banton, Dalano     16.9\n12       Mays, Skylar      1.6\n13     Hagans, Ashton      6.8\n14  Thybulle, Matisse      0.9\n15       Brown, Moses      1.6\n16     Ayton, Deandre      4.1\n17   Simons, Anfernee      4.3\n18   Brogdon, Malcolm      0.9\n19      Grant, Jerami      0.7', 1: '            Pass From  FREQ\xa0R%\n0         Reath, Duop      8.1\n1     Camara, Toumani      3.9\n2         Moore, Taze      2.8\n3      Minaya, Justin      7.6\n4        Murray, Kris     11.8\n5      Walker, Jabari      7.2\n6     Bouyea, Jamaree      3.0\n7     Sharpe, Shaedon      0.6\n8    Henderson, Scoot     17.6\n9         Badji, Ibou      1.7\n10     Banton, Dalano     16.3\n11       Mays, Skylar      2.0\n12     Hagans, Ashton      6.3\n13  Thybulle, Matisse      1.1\n14       Brown, Moses      0.9\n15     Ayton, Deandre      4.4\n16   Simons, Anfernee      4.1\n17   Brogdon, Malcolm      0.2\n18      Grant, Jerami      0.6'}"
D'AngeloRussell,"{0: '                 Pass To  FREQ\xa0M%\n0   Hood-Schifino, Jalen      0.1\n1          Christie, Max      3.9\n2       Castleton, Colin      0.0\n3         Reaves, Austin     14.0\n4           Mays, Skylar      0.2\n5         Windler, Dylan      0.0\n6          Hayes, Jaxson      3.5\n7           Reddish, Cam      3.0\n8          Vincent, Gabe      1.5\n9         Hachimura, Rui      8.0\n10    Vanderbilt, Jarred      0.7\n11       Prince, Taurean      8.5\n12       Wood, Christian      3.2\n13    Dinwiddie, Spencer      3.0\n14        Davis, Anthony     26.7\n15         James, LeBron     23.7', 1: '             Pass From  FREQ\xa0R%\n0        Christie, Max      4.7\n1     Castleton, Colin      0.1\n2       Reaves, Austin     15.3\n3         Mays, Skylar      0.4\n4       Windler, Dylan      0.1\n5        Hayes, Jaxson      5.9\n6         Reddish, Cam      2.9\n7        Vincent, Gabe      1.3\n8       Hachimura, Rui      8.3\n9   Vanderbilt, Jarred      2.2\n10    Giles III, Harry      0.0\n11     Prince, Taurean      7.4\n12     Wood, Christian      4.9\n13  Dinwiddie, Spencer      2.5\n14      Davis, Anthony     24.4\n15       James, LeBron     19.6'}"
MattRyan,"{0: '                    Pass To  FREQ\xa0M%\n0           Hawkins, Jordan      9.9\n1           Seabron, Dereon      1.2\n2       Brockington, Izaiah      0.9\n3            Daniels, Dyson     14.0\n4            Alvarado, Jose      3.1\n5           Crutcher, Jalen      0.3\n6             Liddell, E.J.      0.6\n7            Jones, Herbert      8.1\n8   Robinson-Earl, Jeremiah      3.4\n9            Marshall, Naji      7.1\n10          Lewis Jr., Kira      5.6\n11         Williamson, Zion      8.1\n12            Gates, Kaiser      0.3\n13          Ingram, Brandon      9.0\n14         Nance Jr., Larry      4.7\n15             Zeller, Cody      3.7\n16             McCollum, CJ     12.1\n17       Valanciunas, Jonas      7.8', 1: '                  Pass From  FREQ\xa0R%\n0           Hawkins, Jordan      8.7\n1           Seabron, Dereon      3.2\n2       Brockington, Izaiah      0.6\n3            Daniels, Dyson      6.8\n4            Alvarado, Jose      2.9\n5             Liddell, E.J.      0.3\n6          Murphy III, Trey      1.0\n7            Jones, Herbert      8.4\n8   Robinson-Earl, Jeremiah      4.2\n9            Marshall, Naji      4.2\n10          Lewis Jr., Kira      5.5\n11         Williamson, Zion     12.6\n12            Gates, Kaiser      0.3\n13          Ingram, Brandon      8.7\n14         Nance Jr., Larry      5.5\n15             Zeller, Cody      7.1\n16             McCollum, CJ     11.3\n17       Valanciunas, Jonas      8.7'}"
DomantasSabonis,"{0: ""                   Pass To  FREQ\xa0M%\n0             Jones, Colby      0.3\n1              Ellis, Keon      5.6\n2           Murray, Keegan     14.0\n3         Mitchell, Davion      8.3\n4         Edwards, Kessler      0.1\n5            Duarte, Chris      2.5\n6             Jones, Mason      0.1\n7   Toscano-Anderson, Juan      0.0\n8           Huerter, Kevin     12.7\n9          Vezenkov, Sasha      0.8\n10             Monk, Malik     16.0\n11           Fox, De'Aaron     28.8\n12             Lyles, Trey      2.0\n13        Barnes, Harrison      9.1"", 1: ""                 Pass From  FREQ\xa0R%\n0             Jones, Colby      0.4\n1              Ellis, Keon      7.0\n2           Murray, Keegan     19.3\n3         Mitchell, Davion      9.1\n4         Edwards, Kessler      0.2\n5            Duarte, Chris      3.7\n6             Jones, Mason      0.0\n7   Toscano-Anderson, Juan      0.1\n8           Huerter, Kevin     11.9\n9          Vezenkov, Sasha      1.0\n10             Monk, Malik     14.0\n11           Fox, De'Aaron     20.1\n12             Lyles, Trey      2.8\n13               Len, Alex      0.0\n14        Barnes, Harrison     10.2""}"
LukaSamanic,"{0: '                 Pass To  FREQ\xa0M%\n0      Sensabaugh, Brice      4.6\n1        George, Keyonte     23.1\n2      Hendricks, Taylor      3.4\n3     Fontecchio, Simone      1.4\n4    Lofton Jr., Kenneth      1.4\n5        Kessler, Walker      0.6\n6         Preston, Jason      0.6\n7         Juzang, Johnny      3.1\n8          Agbaji, Ochai      1.1\n9        Yurtseven, Omer      6.6\n10       Lewis Jr., Kira      1.4\n11  Horton-Tucker, Talen     16.8\n12        Bazley, Darius      0.9\n13        Sexton, Collin     13.7\n14         Collins, John      1.7\n15      Markkanen, Lauri      0.6\n16            Dunn, Kris     16.0\n17      Clarkson, Jordan      2.6\n18         Olynyk, Kelly      0.6', 1: '               Pass From  FREQ\xa0R%\n0      Sensabaugh, Brice      4.0\n1        George, Keyonte     26.5\n2      Hendricks, Taylor      3.6\n3     Fontecchio, Simone      0.3\n4    Lofton Jr., Kenneth      3.3\n5        Kessler, Walker      1.0\n6          Potter, Micah      0.3\n7         Preston, Jason      1.0\n8         Juzang, Johnny      4.6\n9          Agbaji, Ochai      2.0\n10       Yurtseven, Omer      7.3\n11       Lewis Jr., Kira      2.3\n12  Horton-Tucker, Talen      8.3\n13        Bazley, Darius      1.0\n14        Sexton, Collin     11.3\n15         Collins, John      1.0\n16            Dunn, Kris     15.6\n17      Clarkson, Jordan      4.6\n18         Olynyk, Kelly      2.0'}"
JermaineSamuels Jr.,"{0: '               Pass To  FREQ\xa0M%\n0        Whitmore, Cam     14.3\n1       Thompson, Amen     16.3\n2       Williams, Nate      4.1\n3         Hinton, Nate     24.5\n4       Holiday, Aaron     36.7\n5    Marjanovic, Boban      2.0\n6  Bullock Jr., Reggie      2.0', 1: '             Pass From  FREQ\xa0R%\n0        Whitmore, Cam     12.1\n1       Thompson, Amen     18.2\n2       Williams, Nate      3.0\n3    Smith Jr., Jabari      3.0\n4         Hinton, Nate     30.3\n5        Landale, Jock      3.0\n6       Holiday, Aaron     21.2\n7    Marjanovic, Boban      3.0\n8  Bullock Jr., Reggie      6.1'}"
AdamaSanogo,"{0: '          Pass To  FREQ\xa0M%\n0  Bitim, Onuralp      3.8\n1    Terry, Dalen     26.9\n2    Drell, Henri      5.8\n3   Taylor, Terry      5.8\n4  Green, Javonte      1.9\n5     White, Coby     21.2\n6   Carter, Jevon     25.0\n7   Craig, Torrey      5.8\n8  DeRozan, DeMar      3.8', 1: '          Pass From  FREQ\xa0R%\n0    Bitim, Onuralp      2.9\n1  Phillips, Julian      2.9\n2      Terry, Dalen     47.1\n3     Taylor, Terry      2.9\n4    Green, Javonte      2.9\n5       White, Coby      2.9\n6     Carter, Jevon     26.5\n7     Craig, Torrey      8.8\n8    DeRozan, DeMar      2.9'}"
GuiSantos,"{0: '                  Pass To  FREQ\xa0M%\n0     Podziemski, Brandin     15.5\n1        Quinones, Lester     14.9\n2   Jackson-Davis, Trayce      6.0\n3           Garuba, Usman      1.8\n4            Moody, Moses      3.0\n5            Spencer, Pat      2.4\n6       Kuminga, Jonathan     10.1\n7        Robinson, Jerome     13.7\n8         Payton II, Gary      0.6\n9           Looney, Kevon      2.4\n10           Saric, Dario      4.2\n11        Wiggins, Andrew      2.4\n12        Green, Draymond      1.8\n13           Joseph, Cory      8.9\n14         Thompson, Klay      3.0\n15         Curry, Stephen      8.9\n16            Paul, Chris      0.6', 1: '                Pass From  FREQ\xa0R%\n0     Podziemski, Brandin     18.9\n1        Quinones, Lester     15.4\n2   Jackson-Davis, Trayce      7.0\n3           Garuba, Usman      3.5\n4            Moody, Moses      4.2\n5            Spencer, Pat      1.4\n6       Kuminga, Jonathan      7.7\n7        Robinson, Jerome      7.7\n8         Payton II, Gary      2.1\n9           Looney, Kevon     10.5\n10           Saric, Dario      4.9\n11        Wiggins, Andrew      2.1\n12        Green, Draymond      3.5\n13           Joseph, Cory      4.2\n14         Curry, Stephen      4.9\n15            Paul, Chris      2.1'}"
DarioSaric,"{0: '                  Pass To  FREQ\xa0M%\n0     Podziemski, Brandin     12.7\n1        Quinones, Lester      2.1\n2   Jackson-Davis, Trayce      2.3\n3             Santos, Gui      0.4\n4            Moody, Moses      4.6\n5            Spencer, Pat      0.1\n6       Kuminga, Jonathan      7.1\n7        Robinson, Jerome      0.5\n8         Payton II, Gary      2.9\n9           Looney, Kevon      1.6\n10        Wiggins, Andrew      7.5\n11        Green, Draymond      2.7\n12           Joseph, Cory      5.2\n13         Thompson, Klay      7.7\n14         Curry, Stephen     16.1\n15            Paul, Chris     26.7', 1: '                Pass From  FREQ\xa0R%\n0     Podziemski, Brandin     15.3\n1        Quinones, Lester      3.5\n2   Jackson-Davis, Trayce      2.1\n3             Santos, Gui      0.5\n4            Moody, Moses      3.6\n5            Spencer, Pat      0.1\n6       Kuminga, Jonathan      8.0\n7        Robinson, Jerome      0.4\n8         Payton II, Gary      2.8\n9           Looney, Kevon      3.0\n10        Wiggins, Andrew      6.3\n11        Green, Draymond      2.5\n12           Joseph, Cory      6.2\n13         Thompson, Klay      7.4\n14         Curry, Stephen     11.1\n15            Paul, Chris     27.1'}"
OlivierSarr,"{0: '                     Pass To  FREQ\xa0M%\n0          Johnson, Keyontae      3.7\n1             Wallace, Cason      8.3\n2             Dieng, Ousmane     10.1\n3            Williams, Jalen      3.7\n4             Wiggins, Aaron      2.8\n5               Giddey, Josh     11.0\n6                  Mann, Tre     16.5\n7          Waters III, Lindy     10.1\n8                Joe, Isaiah      7.3\n9        Pokusevski, Aleksej      0.9\n10            Dort, Luguentz      1.8\n11  Gilgeous-Alexander, Shai     16.5\n12           Micic, Vasilije      4.6\n13            Bertans, Davis      1.8\n14           Hayward, Gordon      0.9', 1: '                   Pass From  FREQ\xa0R%\n0          Johnson, Keyontae      1.6\n1             Wallace, Cason      6.5\n2             Dieng, Ousmane     11.3\n3            Williams, Jalen      1.6\n4             Wiggins, Aaron      3.2\n5               Giddey, Josh     14.5\n6                  Mann, Tre     16.1\n7          Waters III, Lindy     16.1\n8                Joe, Isaiah      4.8\n9        Pokusevski, Aleksej      3.2\n10  Gilgeous-Alexander, Shai      9.7\n11           Micic, Vasilije      6.5\n12            Bertans, Davis      3.2\n13           Hayward, Gordon      1.6'}"
MarcusSasser,"{0: '               Pass To  FREQ\xa0M%\n0     Evbuomwan, Tosan      1.1\n1      Thompson, Ausar      5.6\n2   Fontecchio, Simone      2.4\n3       Boeheim, Buddy      0.9\n4        Rhoden, Jared      1.8\n5         Duren, Jalen      6.9\n6          Ivey, Jaden     16.8\n7       Umude, Stanley      1.8\n8     Cunningham, Cade      7.6\n9       Livers, Isaiah      2.1\n10      Flynn, Malachi      1.6\n11     Stewart, Isaiah      3.2\n12      Hayes, Killian      5.0\n13      Wiseman, James      9.3\n14      Nowell, Jaylen      0.3\n15     Grimes, Quentin      0.8\n16       Milton, Shake      1.3\n17      Metu, Chimezie      3.5\n18      Knox II, Kevin      1.9\n19     Brown Jr., Troy      2.4\n20  Bagley III, Marvin      3.6\n21       Morris, Monte      0.6\n22         Harris, Joe      1.1\n23       Muscala, Mike      1.0\n24      Fournier, Evan      5.7\n25   Bogdanovic, Bojan      2.0\n26         Burks, Alec      8.8\n27         Gibson, Taj      0.4\n28   Gallinari, Danilo      0.8', 1: '             Pass From  FREQ\xa0R%\n0     Evbuomwan, Tosan      1.3\n1      Thompson, Ausar      6.6\n2   Fontecchio, Simone      2.0\n3       Boeheim, Buddy      0.7\n4        Rhoden, Jared      3.5\n5         Duren, Jalen      9.1\n6          Ivey, Jaden     10.2\n7       Umude, Stanley      1.7\n8     Cazalon, Malcolm      0.0\n9     Cunningham, Cade      6.9\n10      Livers, Isaiah      1.3\n11      Flynn, Malachi      1.3\n12     Stewart, Isaiah      3.5\n13      Hayes, Killian      4.1\n14      Wiseman, James     15.2\n15      Nowell, Jaylen      0.3\n16     Grimes, Quentin      0.3\n17       Milton, Shake      1.0\n18      Metu, Chimezie      4.2\n19      Knox II, Kevin      2.9\n20     Brown Jr., Troy      2.9\n21  Bagley III, Marvin      3.6\n22       Morris, Monte      0.6\n23         Harris, Joe      1.0\n24       Muscala, Mike      1.4\n25      Fournier, Evan      4.6\n26   Bogdanovic, Bojan      0.9\n27         Burks, Alec      7.5\n28         Gibson, Taj      0.4\n29   Gallinari, Danilo      1.2'}"
AdmiralSchofield,"{0: '            Pass To  FREQ\xa0M%\n0      Howard, Jett      9.5\n1    Black, Anthony     33.3\n2    Houstan, Caleb      9.5\n3   Banchero, Paolo      0.8\n4      Suggs, Jalen      2.4\n5     Harris, Kevon      2.4\n6   Queen, Trevelin      7.9\n7     Anthony, Cole      9.5\n8      Okeke, Chuma     18.3\n9     Bitadze, Goga      4.0\n10   Wagner, Moritz      1.6\n11  Fultz, Markelle      0.8', 1: '         Pass From  FREQ\xa0R%\n0     Howard, Jett      7.2\n1   Black, Anthony     32.0\n2   Houstan, Caleb     12.4\n3    Harris, Kevon      3.1\n4  Queen, Trevelin      6.2\n5    Anthony, Cole     11.3\n6     Okeke, Chuma     20.6\n7    Bitadze, Goga      3.1\n8   Wagner, Moritz      1.0\n9  Fultz, Markelle      3.1'}"
DennisSchroder,"{0: ""                 Pass To  FREQ\xa0M%\n0          Clowney, Noah      1.0\n1          Wilson, Jalen      1.3\n2       Watford, Trendon      1.3\n3            Thomas, Cam      4.8\n4        Sharpe, Day'Ron      1.7\n5       Johnson, Cameron      3.2\n6           Claxton, Nic      6.8\n7      Walker IV, Lonnie      1.9\n8         Bridges, Mikal      8.9\n9      Bates-Diop, Keita      0.1\n10     Smith Jr., Dennis      1.1\n11  Finney-Smith, Dorian      4.0\n12          Simmons, Ben      0.2\n13          Dick, Gradey      1.2\n14       Barnes, Scottie     13.5\n15        Flynn, Malachi      0.5\n16    Quickley, Immanuel      2.7\n17     Achiuwa, Precious      1.1\n18         Nwora, Jordan      0.5\n19      McDaniels, Jalen      1.3\n20           Barrett, RJ      2.4\n21       Trent Jr., Gary      5.3\n22        Porter, Jontay      1.3\n23          Brown, Bruce      1.8\n24        Boucher, Chris      1.4\n25           Anunoby, OG      5.6\n26        Siakam, Pascal     15.3\n27         Poeltl, Jakob      7.4\n28      Porter Jr., Otto      0.7\n29       Young, Thaddeus      1.7"", 1: ""               Pass From  FREQ\xa0R%\n0          Clowney, Noah      1.2\n1          Wilson, Jalen      1.4\n2       Watford, Trendon      1.6\n3            Thomas, Cam      4.0\n4        Sharpe, Day'Ron      2.0\n5       Johnson, Cameron      2.6\n6           Claxton, Nic      7.3\n7      Walker IV, Lonnie      1.3\n8         Bridges, Mikal      7.1\n9      Bates-Diop, Keita      0.1\n10     Smith Jr., Dennis      1.3\n11  Finney-Smith, Dorian      6.0\n12          Simmons, Ben      0.2\n13          Dick, Gradey      1.3\n14       Barnes, Scottie     13.4\n15        Flynn, Malachi      0.6\n16    Quickley, Immanuel      1.6\n17     Achiuwa, Precious      2.0\n18         Nwora, Jordan      0.5\n19      McDaniels, Jalen      1.3\n20           Barrett, RJ      2.0\n21       Trent Jr., Gary      3.2\n22        Porter, Jontay      1.4\n23          Brown, Bruce      1.8\n24        Boucher, Chris      2.3\n25           Anunoby, OG      5.3\n26        Siakam, Pascal     10.4\n27         Poeltl, Jakob     12.4\n28      Porter Jr., Otto      1.3\n29       Temple, Garrett      0.1\n30       Young, Thaddeus      2.9""}"
DereonSeabron,"{0: '                    Pass To  FREQ\xa0M%\n0           Hawkins, Jordan     11.4\n1           Crutcher, Jalen      1.4\n2             Liddell, E.J.      2.9\n3   Robinson-Earl, Jeremiah      5.7\n4                Ryan, Matt     14.3\n5           Lewis Jr., Kira     20.0\n6          Williamson, Zion      5.7\n7           Ingram, Brandon      4.3\n8          Nance Jr., Larry      5.7\n9              Zeller, Cody     10.0\n10             McCollum, CJ     10.0\n11       Valanciunas, Jonas      8.6', 1: '                  Pass From  FREQ\xa0R%\n0           Hawkins, Jordan     16.4\n1            Daniels, Dyson      7.3\n2             Liddell, E.J.      3.6\n3            Jones, Herbert      5.5\n4   Robinson-Earl, Jeremiah     20.0\n5                Ryan, Matt      7.3\n6           Lewis Jr., Kira      9.1\n7          Williamson, Zion      7.3\n8          Nance Jr., Larry      3.6\n9              Zeller, Cody     10.9\n10             McCollum, CJ      1.8\n11       Valanciunas, Jonas      7.3'}"
AlperenSengun,"{0: ""                Pass To  FREQ\xa0M%\n0         Whitmore, Cam      2.0\n1        Thompson, Amen      3.8\n2           Eason, Tari      1.7\n3     Smith Jr., Jabari     10.3\n4        Tate, Jae'Sean      2.6\n5          Green, Jalen     25.8\n6          Hinton, Nate      0.0\n7        Holiday, Aaron      4.7\n8        Brooks, Dillon     12.2\n9        VanVleet, Fred     34.6\n10  Bullock Jr., Reggie      0.4\n11          Green, Jeff      1.9"", 1: ""              Pass From  FREQ\xa0R%\n0         Whitmore, Cam      1.0\n1        Thompson, Amen      6.0\n2        Williams, Nate      0.0\n3           Eason, Tari      1.3\n4     Smith Jr., Jabari      8.2\n5        Tate, Jae'Sean      1.8\n6          Green, Jalen     23.4\n7          Hinton, Nate      0.0\n8        Holiday, Aaron      4.8\n9        Brooks, Dillon      9.4\n10       VanVleet, Fred     42.9\n11  Bullock Jr., Reggie      0.3\n12          Green, Jeff      0.8""}"
BriceSensabaugh,"{0: '                 Pass To  FREQ\xa0M%\n0        George, Keyonte     18.1\n1      Hendricks, Taylor      7.2\n2     Fontecchio, Simone      0.2\n3    Lofton Jr., Kenneth      2.7\n4        Kessler, Walker      4.7\n5          Potter, Micah      1.6\n6         Preston, Jason      1.4\n7         Juzang, Johnny      1.8\n8        Yurtseven, Omer      6.8\n9        Lewis Jr., Kira      5.6\n10         Samanic, Luka      2.7\n11  Horton-Tucker, Talen      9.0\n12        Bazley, Darius      1.6\n13        Sexton, Collin     14.0\n14         Collins, John      4.7\n15      Markkanen, Lauri      2.5\n16            Dunn, Kris      9.9\n17      Clarkson, Jordan      5.4', 1: '               Pass From  FREQ\xa0R%\n0        George, Keyonte     19.7\n1      Hendricks, Taylor      6.7\n2     Fontecchio, Simone      0.2\n3    Lofton Jr., Kenneth      3.0\n4        Kessler, Walker      3.9\n5          Potter, Micah      2.2\n6         Preston, Jason      1.8\n7         Juzang, Johnny      1.2\n8        Yurtseven, Omer      7.1\n9        Lewis Jr., Kira      7.1\n10         Samanic, Luka      3.2\n11  Horton-Tucker, Talen      8.9\n12        Bazley, Darius      2.0\n13        Sexton, Collin     10.7\n14         Collins, John      4.9\n15      Markkanen, Lauri      1.6\n16            Dunn, Kris     12.4\n17      Clarkson, Jordan      3.6'}"
CollinSexton,"{0: '                 Pass To  FREQ\xa0M%\n0      Sensabaugh, Brice      2.1\n1        George, Keyonte     13.0\n2      Hendricks, Taylor      3.3\n3     Fontecchio, Simone      6.0\n4        Kessler, Walker      5.4\n5          Potter, Micah      0.8\n6         Preston, Jason      0.4\n7         Juzang, Johnny      1.9\n8          Agbaji, Ochai      2.4\n9        Yurtseven, Omer      2.5\n10       Lewis Jr., Kira      0.9\n11         Samanic, Luka      1.3\n12  Horton-Tucker, Talen      8.2\n13        Bazley, Darius      0.1\n14         Collins, John     12.2\n15      Markkanen, Lauri     11.7\n16            Dunn, Kris     12.1\n17      Clarkson, Jordan      8.3\n18         Olynyk, Kelly      7.3', 1: '               Pass From  FREQ\xa0R%\n0      Sensabaugh, Brice      1.8\n1        George, Keyonte     12.0\n2      Hendricks, Taylor      2.4\n3     Fontecchio, Simone      6.3\n4        Kessler, Walker      7.8\n5          Potter, Micah      1.0\n6         Preston, Jason      0.6\n7         Juzang, Johnny      1.1\n8          Agbaji, Ochai      2.6\n9        Yurtseven, Omer      2.6\n10       Lewis Jr., Kira      0.8\n11         Samanic, Luka      1.4\n12  Horton-Tucker, Talen      7.5\n13        Bazley, Darius      0.4\n14         Collins, John     14.5\n15      Markkanen, Lauri     10.3\n16            Dunn, Kris     14.2\n17      Clarkson, Jordan      4.4\n18         Olynyk, Kelly      8.2'}"
LandryShamet,"{0: '                 Pass To  FREQ\xa0M%\n0          Jemison, Trey      0.1\n1       Coulibaly, Bilal      6.4\n2   Baldwin Jr., Patrick      0.3\n3          Davis, Johnny      1.6\n4        Omoruyi, Eugene      1.8\n5         Kispert, Corey     10.7\n6          Butler, Jared      0.7\n7           Avdija, Deni     14.3\n8          Poole, Jordan     12.6\n9        Gafford, Daniel      2.7\n10    Bagley III, Marvin      3.1\n11           Kuzma, Kyle     10.7\n12         Wright, Delon      7.9\n13           Jones, Tyus     15.6\n14         Muscala, Mike      3.3\n15     Gallinari, Danilo      8.0', 1: '               Pass From  FREQ\xa0R%\n0       Coulibaly, Bilal      6.3\n1   Baldwin Jr., Patrick      0.9\n2          Davis, Johnny      0.9\n3        Omoruyi, Eugene      1.7\n4         Kispert, Corey     11.3\n5          Butler, Jared      0.8\n6           Avdija, Deni     13.8\n7          Poole, Jordan      9.4\n8        Gafford, Daniel      2.2\n9     Bagley III, Marvin      3.2\n10           Kuzma, Kyle      9.4\n11       Holmes, Richaun      0.5\n12         Wright, Delon      9.4\n13           Jones, Tyus     19.8\n14         Muscala, Mike      2.7\n15     Gallinari, Danilo      7.8'}"
Day'RonSharpe,"{0: ""                 Pass To  FREQ\xa0M%\n0          Clowney, Noah      0.4\n1       Whitehead, Dariq      0.1\n2         Gilyard, Jacob      0.2\n3          Wilson, Jalen      2.4\n4       Watford, Trendon      8.6\n5            Thomas, Cam     15.1\n6          Johnson, Keon      0.3\n7         Brooks, Armoni      1.1\n8       Johnson, Cameron      5.9\n9      Walker IV, Lonnie      7.3\n10        Bridges, Mikal     12.5\n11     Bates-Diop, Keita      0.2\n12      Giles III, Harry      0.5\n13     Smith Jr., Dennis     13.6\n14  Finney-Smith, Dorian      3.9\n15          Simmons, Ben      0.5\n16        O'Neale, Royce      4.5\n17    Dinwiddie, Spencer     14.2\n18      Schroder, Dennis      8.9"", 1: ""               Pass From  FREQ\xa0R%\n0          Clowney, Noah      0.5\n1         Gilyard, Jacob      0.5\n2          Wilson, Jalen      2.8\n3       Watford, Trendon     10.5\n4            Thomas, Cam      8.7\n5          Johnson, Keon      0.4\n6         Brooks, Armoni      0.8\n7       Johnson, Cameron      8.4\n8      Walker IV, Lonnie      3.3\n9         Bridges, Mikal      9.9\n10     Bates-Diop, Keita      0.9\n11      Giles III, Harry      0.3\n12     Smith Jr., Dennis     17.0\n13  Finney-Smith, Dorian      4.4\n14          Simmons, Ben      0.8\n15        O'Neale, Royce      9.3\n16    Dinwiddie, Spencer     11.6\n17      Schroder, Dennis     10.0""}"
ShaedonSharpe,"{0: '                 Pass To  FREQ\xa0M%\n0            Reath, Duop      4.0\n1        Camara, Toumani      8.1\n2          Rupert, Rayan      0.3\n3           Murray, Kris      1.1\n4         Walker, Jabari      4.5\n5        Bouyea, Jamaree      1.8\n6       Henderson, Scoot     14.6\n7         Wainright, Ish      0.3\n8            Badji, Ibou      0.4\n9           Mays, Skylar      9.6\n10     Thybulle, Matisse      5.4\n11          Brown, Moses      0.2\n12  Williams III, Robert      0.9\n13        Ayton, Deandre      9.3\n14      Simons, Anfernee      9.6\n15      Brogdon, Malcolm     15.9\n16         Grant, Jerami     13.7', 1: '               Pass From  FREQ\xa0R%\n0            Reath, Duop      3.5\n1        Camara, Toumani      8.2\n2          Rupert, Rayan      0.1\n3         Minaya, Justin      0.3\n4           Murray, Kris      1.6\n5         Walker, Jabari      4.5\n6        Bouyea, Jamaree      1.9\n7       Henderson, Scoot     13.1\n8         Wainright, Ish      0.2\n9            Badji, Ibou      0.7\n10          Mays, Skylar      8.8\n11     Thybulle, Matisse      6.8\n12          Brown, Moses      0.3\n13  Williams III, Robert      1.6\n14        Ayton, Deandre     12.0\n15      Simons, Anfernee      6.8\n16      Brogdon, Malcolm     19.1\n17         Grant, Jerami     10.4'}"
BenSheppard,"{0: '                Pass To  FREQ\xa0M%\n0        Walker, Jarace      7.1\n1      Jackson, Quenton      0.1\n2       Tshiebwe, Oscar      0.3\n3        Brown, Kendall      0.8\n4   Mathurin, Bennedict      5.9\n5       Jackson, Isaiah      2.4\n6          Smith, Jalen      3.3\n7        Nesmith, Aaron      2.1\n8    Haliburton, Tyrese     11.6\n9           Toppin, Obi      7.5\n10        Nwora, Jordan      2.6\n11     Nembhard, Andrew      5.3\n12         Brown, Bruce      1.0\n13       Siakam, Pascal      5.2\n14         Hield, Buddy      3.4\n15        Turner, Myles      2.7\n16      McConnell, T.J.     34.9\n17      McDermott, Doug      3.2\n18       Johnson, James      0.8', 1: '              Pass From  FREQ\xa0R%\n0        Walker, Jarace      6.2\n1      Jackson, Quenton      0.1\n2       Tshiebwe, Oscar      0.2\n3        Brown, Kendall      1.1\n4   Mathurin, Bennedict      4.4\n5       Jackson, Isaiah      3.5\n6          Smith, Jalen      3.8\n7        Nesmith, Aaron      2.2\n8    Haliburton, Tyrese      8.4\n9           Toppin, Obi     10.5\n10        Nwora, Jordan      1.7\n11     Nembhard, Andrew      5.2\n12         Brown, Bruce      1.3\n13       Siakam, Pascal      4.1\n14         Hield, Buddy      3.9\n15        Turner, Myles      2.2\n16      McConnell, T.J.     38.7\n17      McDermott, Doug      1.8\n18       Johnson, James      0.5'}"
